"engine","track","schema_id","session_id","owner_id","module","structure","byte_class","sharing_scope","retained_estimate_bytes","non_overlapping_reducible_bytes","logical_bytes","item_count","mapped_file_bytes","mapping_mode","evidence_source","notes"
"yune","track-a-comparison","luna_pinyin","77","translator.entries_by_code","translator","entries_by_code","shared","shared_reference","0","0","0","0","0","compact_table","yune_m43_memory_owner_profile_json","compact storage path does not retain a translator BTreeMap"
"yune","track-a-comparison","luna_pinyin","77","compact_table.syllabary_codes","compact_table","syllabary_codes","heap_owned_reducible","session_or_process_heap","13685","13685","0","424","0","Vec<String>","yune_m43_memory_owner_profile_json","canonical code list retained for prism lookup"
"yune","track-a-comparison","luna_pinyin","77","compact_table.syllable_ids_by_code","compact_table","syllable_ids_by_code","heap_owned_reducible","session_or_process_heap","15757","15757","0","424","0","HashMap<String, usize>","yune_m43_memory_owner_profile_json","rsmarisa lookup side map retained on heap"
"yune","track-a-comparison","luna_pinyin","77","compact_table.storage","compact_table","storage","mmap_file_backed","file_mapping","13013460","0","0","498564","13013460","byte_backed:mmap","yune_m43_memory_owner_profile_json","rsmarisa table bytes are excluded from heap-owned branch triggers when mapped"
"yune","track-a-comparison","luna_pinyin","77","poet.entries_by_code","poet","entries_by_code","heap_owned_reducible","session_or_process_heap","38208541","38208541","0","513353","0","Vec<ModelEntry>","yune_m43_memory_owner_profile_json","sentence model entries cloned from table rows"
"yune","track-a-comparison","luna_pinyin","77","poet.lookup_index","poet","lookup_index","heap_owned_guarded","session_or_process_heap","2660848","0","0","332604","0","SentenceLookupIndex","yune_m43_memory_owner_profile_json","sorted code-range index used by M40 sentence lookup"
"yune","track-a-comparison","luna_pinyin","77","poet.abbreviation_vocabulary","poet","abbreviation_vocabulary","heap_owned_reducible","session_or_process_heap","1433","1433","0","11","0","Vec<ModelVocabularyEntry>","yune_m43_memory_owner_profile_json","abbreviation-only vocabulary used by M42 guard rows"
"yune","track-a-comparison","luna_pinyin","77","schema.config","schema","config","overlap_estimate","logical_overlap","1864","0","1864","2","0","schema_reload_signature","yune_m43_memory_owner_profile_json","deployed YAML config is parsed transiently; retained bytes are reload signatures"
"yune","track-a-comparison","luna_pinyin","77","schema.processors","schema","processors","heap_owned_guarded","session_or_process_heap","2599","0","0","2","0","SessionState processors","yune_m43_memory_owner_profile_json","processor and segmentor state installed from the selected schema"
"yune","track-a-comparison","luna_pinyin","77","session.userdb","session","userdb","heap_owned_guarded","session_or_process_heap","24","0","0","0","0","UserDb","yune_m43_memory_owner_profile_json","per-session learned entries; empty in clean native benchmark runs"
"yune","track-a-comparison","luna_pinyin","77","runtime.session_state","runtime","session_state","heap_owned_guarded","session_or_process_heap","3166","0","0","1","0","SessionState","yune_m43_memory_owner_profile_json","active native session runtime shell excluding shared translator internals"
"yune","track-b-product","jyut6ping3_mobile","71","translator.entries_by_code","translator","entries_by_code","shared","shared_reference","0","0","0","0","0","compact_table","yune_m43_memory_owner_profile_json","compact storage path does not retain a translator BTreeMap"
"yune","track-b-product","jyut6ping3_mobile","71","compact_table.syllabary_codes","compact_table","syllabary_codes","heap_owned_reducible","session_or_process_heap","4189674","4189674","0","114653","0","Vec<String>","yune_m43_memory_owner_profile_json","canonical code list retained for prism lookup"
"yune","track-b-product","jyut6ping3_mobile","71","compact_table.syllable_ids_by_code","compact_table","syllable_ids_by_code","shared","shared_reference","0","0","0","0","0","none","yune_m43_memory_owner_profile_json","byte-backed compact storage does not retain the rsmarisa syllable map"
"yune","track-b-product","jyut6ping3_mobile","71","compact_table.storage","compact_table","storage","mmap_file_backed","file_mapping","15248382","0","0","241796","15248382","byte_backed:mmap","yune_m43_memory_owner_profile_json","table bytes are excluded from heap-owned branch triggers when mapped"
"yune","track-b-product","jyut6ping3_mobile","71","poet.entries_by_code","poet","entries_by_code","shared","shared_reference","0","0","0","0","0","none","yune_m43_memory_owner_profile_json","upstream sentence model not retained for this translator"
"yune","track-b-product","jyut6ping3_mobile","71","poet.lookup_index","poet","lookup_index","shared","shared_reference","0","0","0","0","0","none","yune_m43_memory_owner_profile_json","upstream sentence model not retained for this translator"
