engine,track,schema_id,session_id,owner_id,module,structure,byte_class,sharing_scope,retained_estimate_bytes,non_overlapping_reducible_bytes,logical_bytes,item_count,mapped_file_bytes,mapping_mode,evidence_source,notes
yune,track-b-product,jyut6ping3_mobile,71,translator.entries_by_code,translator,entries_by_code,heap_owned_guarded,session_or_process_heap,510925748,0,0,1139357,0,"BTreeMap<String, Vec<Candidate>>",yune_m43_memory_owner_profile_json,heap dictionary rows used by source-YAML and small test translators
yune,track-b-product,jyut6ping3_mobile,71,poet.entries_by_code,poet,entries_by_code,shared,shared_reference,0,0,0,0,0,none,yune_m43_memory_owner_profile_json,upstream sentence model not retained for this translator
yune,track-b-product,jyut6ping3_mobile,71,poet.lookup_index,poet,lookup_index,shared,shared_reference,0,0,0,0,0,none,yune_m43_memory_owner_profile_json,upstream sentence model not retained for this translator
yune,track-b-product,jyut6ping3_mobile,71,poet.abbreviation_vocabulary,poet,abbreviation_vocabulary,shared,shared_reference,0,0,0,0,0,none,yune_m43_memory_owner_profile_json,upstream sentence model not retained for this translator
yune,track-b-product,jyut6ping3_mobile,71,translator.entries_by_code,translator,entries_by_code,heap_owned_guarded,session_or_process_heap,8327700,0,0,48970,0,"BTreeMap<String, Vec<Candidate>>",yune_m43_memory_owner_profile_json,heap dictionary rows used by source-YAML and small test translators
yune,track-b-product,jyut6ping3_mobile,71,poet.entries_by_code,poet,entries_by_code,shared,shared_reference,0,0,0,0,0,none,yune_m43_memory_owner_profile_json,upstream sentence model not retained for this translator
yune,track-b-product,jyut6ping3_mobile,71,poet.lookup_index,poet,lookup_index,shared,shared_reference,0,0,0,0,0,none,yune_m43_memory_owner_profile_json,upstream sentence model not retained for this translator
yune,track-b-product,jyut6ping3_mobile,71,poet.abbreviation_vocabulary,poet,abbreviation_vocabulary,shared,shared_reference,0,0,0,0,0,none,yune_m43_memory_owner_profile_json,upstream sentence model not retained for this translator
yune,track-b-product,jyut6ping3_mobile,71,schema.config,schema,config,overlap_estimate,logical_overlap,1567,0,1567,1,0,schema_reload_signature,yune_m43_memory_owner_profile_json,deployed YAML config is parsed transiently; retained bytes are reload signatures
yune,track-b-product,jyut6ping3_mobile,71,schema.processors,schema,processors,heap_owned_guarded,session_or_process_heap,2327,0,0,2,0,SessionState processors,yune_m43_memory_owner_profile_json,processor and segmentor state installed from the selected schema
yune,track-b-product,jyut6ping3_mobile,71,session.userdb,session,userdb,heap_owned_guarded,session_or_process_heap,24,0,0,0,0,UserDb,yune_m43_memory_owner_profile_json,per-session learned entries; empty in clean native benchmark runs
yune,track-b-product,jyut6ping3_mobile,71,runtime.session_state,runtime,session_state,heap_owned_guarded,session_or_process_heap,3133,0,0,1,0,SessionState,yune_m43_memory_owner_profile_json,active native session runtime shell excluding shared translator internals
yune,track-b-product,jyut6ping3_mobile,0,process.after_ready_working_set_unclassified_lower_bound,process,after_ready_working_set_unclassified_lower_bound,unclassified,process_memory_proxy,836689920,0,836689920,1,0,process_memory,native_inprocess_benchmark,median after-ready working set minus non-overlapping reducible owner rows; lower-bound proxy only
yune,track-b-product,jyut6ping3_mobile,0,process.peak_working_set_high_water,process,peak_working_set_high_water,unclassified,process_memory_proxy,1049112576,0,1049112576,1,0,process_memory,native_inprocess_benchmark,"maximum observed peak working set in this benchmark process; includes allocator, loader, mappings, and overlap"
yune,track-b-product,jyut6ping3_mobile,0,process.private_bytes_proxy,process,private_bytes_proxy,unclassified,process_memory_proxy,869068800,0,869068800,1,0,process_memory,native_inprocess_benchmark,median private bytes proxy from PROCESS_MEMORY_COUNTERS_EX where available
yune,track-b-product,jyut6ping3_mobile,0,process.peak_pagefile_high_water,process,peak_pagefile_high_water,unclassified,process_memory_proxy,1354813440,0,1354813440,1,0,process_memory,native_inprocess_benchmark,maximum observed peak pagefile usage proxy from PROCESS_MEMORY_COUNTERS_EX where available
