translator_slot,dictionary_id,owner,class,before_bytes,current_bytes,delta_bytes,current_item_count,storage,notes
aggregate,all,heap_owned_named_total,heap_owned,50545818,90779714,40233896,,summary,"named heap rows only; current adds parsed prism payload attribution"
aggregate,all,named_total,all_classes,73708596,113942492,40233896,,summary,"all named rows including mmap and shared/overlap estimates"
aggregate,all,prism.spelling_map,heap_owned_required,0,31337240,31337240,565994,"Vec<Vec<RimePrismSpellingDescriptor>>","parsed prism spelling descriptor vectors retained on heap"
aggregate,all,prism.double_array_units,heap_owned_required,0,8896560,8896560,2224128,"DartsDoubleArray Vec<u32>","parsed prism double-array units retained on heap for spelling lookup"
aggregate,all,prism.corrections_tolerance,heap_owned_required,0,96,96,0,"Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>","parsed prism correction/tolerance vector headers; no rows in this profile"
aggregate,all,prism.tips_payload,heap_owned_required,0,0,0,0,"String payloads in RimePrismSpellingDescriptor","no non-empty tips in this profile"
aggregate,all,compact_table.lookup_records,heap_owned_required,45689298,45689298,0,197951,"HashMap<String, Vec<DictionaryLookupRecord>>","unchanged post-RED-01 compact lookup records"
1,jyut6ping3_mobile,compact_table.lookup_records,heap_owned_required,31920140,31920140,0,127144,"HashMap<String, Vec<DictionaryLookupRecord>>","primary Jyutping lookup records unchanged"
1,jyut6ping3_mobile,compact_table.storage,mmap_file_backed,15248382,15248382,0,241796,byte_backed:mmap,"primary table bytes remain mmap file-backed"
1,jyut6ping3_mobile,compact_table.syllabary_codes,heap_owned_reducible,4189674,4189674,0,114653,Vec<String>,"canonical code list unchanged"
1,jyut6ping3_mobile,prism.spelling_map,heap_owned_required,0,28767208,28767208,516286,"Vec<Vec<RimePrismSpellingDescriptor>>","primary parsed prism spelling descriptor vectors"
1,jyut6ping3_mobile,prism.double_array_units,heap_owned_required,0,8388632,8388632,2097152,"DartsDoubleArray Vec<u32>","primary parsed prism double-array units"
1,jyut6ping3_mobile,prism.corrections_tolerance,heap_owned_required,0,48,48,0,"Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>","primary parsed prism correction/tolerance vector headers"
1,jyut6ping3_mobile,prism.tips_payload,heap_owned_required,0,0,0,0,"String payloads in RimePrismSpellingDescriptor","primary prism has no non-empty tips"
2,luna_pinyin_yune_reverse,compact_table.lookup_records,heap_owned_required,13769158,13769158,0,70807,"HashMap<String, Vec<DictionaryLookupRecord>>","reverse/UI lookup records unchanged"
2,luna_pinyin_yune_reverse,compact_table.storage,mmap_file_backed,4640555,4640555,0,90780,byte_backed:mmap,"reverse table bytes remain mmap file-backed"
2,luna_pinyin_yune_reverse,compact_table.syllabary_codes,heap_owned_reducible,661218,661218,0,19975,Vec<String>,"reverse canonical code list unchanged"
2,luna_pinyin_yune_reverse,prism.spelling_map,heap_owned_required,0,2570032,2570032,49708,"Vec<Vec<RimePrismSpellingDescriptor>>","reverse parsed prism spelling descriptor vectors"
2,luna_pinyin_yune_reverse,prism.double_array_units,heap_owned_required,0,507928,507928,126976,"DartsDoubleArray Vec<u32>","reverse parsed prism double-array units"
2,luna_pinyin_yune_reverse,prism.corrections_tolerance,heap_owned_required,0,48,48,0,"Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>","reverse parsed prism correction/tolerance vector headers"
2,luna_pinyin_yune_reverse,prism.tips_payload,heap_owned_required,0,0,0,0,"String payloads in RimePrismSpellingDescriptor","reverse prism has no non-empty tips"
