phase,session_id,owner,class,estimated_bytes,item_count,storage,notes
"after_create_session_owner_profile",1,"translator.entries_by_code","shared",0,0,"compact_table","compact storage path does not retain a translator BTreeMap"
"after_create_session_owner_profile",1,"compact_table.syllabary_codes","heap_owned_reducible",4189674,114653,"Vec<String>","canonical code list retained for prism lookup"
"after_create_session_owner_profile",1,"compact_table.syllable_ids_by_code","shared",0,0,"none","byte-backed compact storage does not retain the rsmarisa syllable map"
"after_create_session_owner_profile",1,"compact_table.storage","mmap_file_backed",15248382,241796,"byte_backed:mmap","table bytes are excluded from heap-owned branch triggers when mapped"
"after_create_session_owner_profile",1,"compact_table.candidate_text_payload","shared_or_overlapping",1058723,127143,"table_bin_byte_refs","candidate text payload; byte-backed rows overlap compact_table.storage"
"after_create_session_owner_profile",1,"compact_table.candidate_comment_payload","shared_or_overlapping",1516569,127143,"table_bin_byte_refs","candidate raw comments/code payload; byte-backed rows overlap compact_table.storage"
"after_create_session_owner_profile",1,"compact_table.stems","heap_owned_required",48,0,"HashMap<String, Vec<String>>","retained phrase-code stems needed for lookup records and dictionary panels"
"after_create_session_owner_profile",1,"compact_table.lookup_records","shared_or_overlapping",14219092,127144,"byte_backed_lookup_payload(byte_backed; mmap; index_bytes=5019536)","dictionary lookup records retained as an indexed compiled payload instead of an eager HashMap"
"after_create_session_owner_profile",1,"compact_table.corrections_tolerance","heap_owned_required",0,0,"Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>","retained correction/tolerance payload required by TypeDuck fuzzy input behavior"
"after_create_session_owner_profile",1,"compact_table.dict_settings","heap_owned_required",24,0,"BTreeMap<String, String>","retained dictionary settings parsed from deployed dictionary metadata"
"after_create_session_owner_profile",1,"compact_table.preset_vocabulary","heap_owned_required",0,0,"Vec<PresetVocabularyEntry>","retained preset vocabulary weights when the selected dictionary includes vocabulary packs"
"after_create_session_owner_profile",1,"prism.double_array_units","mmap_file_backed",8388608,2097152,"byte_backed:mmap","prism double-array units are read directly from the byte source"
"after_create_session_owner_profile",1,"prism.spelling_map","mmap_file_backed",10965828,516286,"byte_backed:mmap","prism spelling descriptors are read lazily from the byte source"
"after_create_session_owner_profile",1,"prism.corrections_tolerance","heap_owned_required",48,0,"Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>","parsed prism correction/tolerance payload retained on heap"
"after_create_session_owner_profile",1,"prism.tips_payload","mmap_file_backed",0,0,"byte_backed:mmap","prism descriptor tips remain in the byte source"
"after_create_session_owner_profile",1,"poet.entries_by_code","shared",0,0,"none","upstream sentence model not retained for this translator"
"after_create_session_owner_profile",1,"poet.lookup_index","shared",0,0,"none","upstream sentence model not retained for this translator"
"after_create_session_owner_profile",1,"poet.abbreviation_vocabulary","shared",0,0,"none","upstream sentence model not retained for this translator"
"after_create_session_owner_profile",1,"translator.entries_by_code","shared",0,0,"compact_table","compact storage path does not retain a translator BTreeMap"
"after_create_session_owner_profile",1,"compact_table.syllabary_codes","heap_owned_reducible",661218,19975,"Vec<String>","canonical code list retained for prism lookup"
"after_create_session_owner_profile",1,"compact_table.syllable_ids_by_code","shared",0,0,"none","byte-backed compact storage does not retain the rsmarisa syllable map"
"after_create_session_owner_profile",1,"compact_table.storage","mmap_file_backed",4640555,90780,"byte_backed:mmap","table bytes are excluded from heap-owned branch triggers when mapped"
"after_create_session_owner_profile",1,"compact_table.candidate_text_payload","shared_or_overlapping",351770,70805,"table_bin_byte_refs","candidate text payload; byte-backed rows overlap compact_table.storage"
"after_create_session_owner_profile",1,"compact_table.candidate_comment_payload","shared_or_overlapping",344792,70805,"table_bin_byte_refs","candidate raw comments/code payload; byte-backed rows overlap compact_table.storage"
"after_create_session_owner_profile",1,"compact_table.stems","heap_owned_required",48,0,"HashMap<String, Vec<String>>","retained phrase-code stems needed for lookup records and dictionary panels"
"after_create_session_owner_profile",1,"compact_table.lookup_records","shared_or_overlapping",5536522,70807,"byte_backed_lookup_payload(byte_backed; mmap; index_bytes=2486376)","dictionary lookup records retained as an indexed compiled payload instead of an eager HashMap"
"after_create_session_owner_profile",1,"compact_table.corrections_tolerance","heap_owned_required",0,0,"Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>","retained correction/tolerance payload required by TypeDuck fuzzy input behavior"
"after_create_session_owner_profile",1,"compact_table.dict_settings","heap_owned_required",24,0,"BTreeMap<String, String>","retained dictionary settings parsed from deployed dictionary metadata"
"after_create_session_owner_profile",1,"compact_table.preset_vocabulary","heap_owned_required",0,0,"Vec<PresetVocabularyEntry>","retained preset vocabulary weights when the selected dictionary includes vocabulary packs"
"after_create_session_owner_profile",1,"prism.double_array_units","mmap_file_backed",507904,126976,"byte_backed:mmap","prism double-array units are read directly from the byte source"
"after_create_session_owner_profile",1,"prism.spelling_map","mmap_file_backed",989228,49708,"byte_backed:mmap","prism spelling descriptors are read lazily from the byte source"
"after_create_session_owner_profile",1,"prism.corrections_tolerance","heap_owned_required",48,0,"Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>","parsed prism correction/tolerance payload retained on heap"
"after_create_session_owner_profile",1,"prism.tips_payload","mmap_file_backed",0,0,"byte_backed:mmap","prism descriptor tips remain in the byte source"
"after_create_session_owner_profile",1,"poet.entries_by_code","shared",0,0,"none","upstream sentence model not retained for this translator"
"after_create_session_owner_profile",1,"poet.lookup_index","shared",0,0,"none","upstream sentence model not retained for this translator"
"after_create_session_owner_profile",1,"poet.abbreviation_vocabulary","shared",0,0,"none","upstream sentence model not retained for this translator"
"after_create_session_owner_profile",1,"dictionary_lookup_filter.lookup_records","shared_or_overlapping",17498253,127144,"byte_backed_lookup_payload(byte_backed; mmap; index_bytes=5019536)","TypeDuck dictionary-panel records decoded on demand from the compiled lookup payload"
"after_create_session_owner_profile",1,"schema.config","overlap_estimate",1987,1,"schema_reload_signature","deployed YAML config is parsed transiently; retained bytes are reload signatures"
"after_create_session_owner_profile",1,"schema.processors","heap_owned_guarded",2327,2,"SessionState processors","processor and segmentor state installed from the selected schema"
"after_create_session_owner_profile",1,"session.userdb","heap_owned_guarded",24,0,"UserDb","per-session learned entries; empty in clean native benchmark runs"
"after_create_session_owner_profile",1,"runtime.session_state","heap_owned_guarded",3133,1,"SessionState","active native session runtime shell excluding shared translator internals"
"final_owner_profile",1,"translator.entries_by_code","shared",0,0,"compact_table","compact storage path does not retain a translator BTreeMap"
"final_owner_profile",1,"compact_table.syllabary_codes","heap_owned_reducible",4189674,114653,"Vec<String>","canonical code list retained for prism lookup"
"final_owner_profile",1,"compact_table.syllable_ids_by_code","shared",0,0,"none","byte-backed compact storage does not retain the rsmarisa syllable map"
"final_owner_profile",1,"compact_table.storage","mmap_file_backed",15248382,241796,"byte_backed:mmap","table bytes are excluded from heap-owned branch triggers when mapped"
"final_owner_profile",1,"compact_table.candidate_text_payload","shared_or_overlapping",1058723,127143,"table_bin_byte_refs","candidate text payload; byte-backed rows overlap compact_table.storage"
"final_owner_profile",1,"compact_table.candidate_comment_payload","shared_or_overlapping",1516569,127143,"table_bin_byte_refs","candidate raw comments/code payload; byte-backed rows overlap compact_table.storage"
"final_owner_profile",1,"compact_table.stems","heap_owned_required",48,0,"HashMap<String, Vec<String>>","retained phrase-code stems needed for lookup records and dictionary panels"
"final_owner_profile",1,"compact_table.lookup_records","shared_or_overlapping",14219092,127144,"byte_backed_lookup_payload(byte_backed; mmap; index_bytes=5019536)","dictionary lookup records retained as an indexed compiled payload instead of an eager HashMap"
